Titanic Victims
##################################################################################
Data Source: https://www.encyclopedia-titanica.org/
Data Extracted: December 2018, by Michael Graber
==================================================================================
Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ABBING, Mr Anthony",41,3rd Class Passenger,5547,Southampton,Blacksmith,
,,,£7 11s,,,
"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673,Southampton,Jeweller,[190]
,,,£20 5s,,,
"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673,Southampton,Scholar,
"CHRISTMAS, Mr Herbert Harry",34,Victualling Crew,,Southampton,Assistant Saloon Steward (2nd class),
"CHRONOPOULOS, MrDimitrios M.",21,3rd Class Passenger,2680,Cherbourg,General Labourer,
,,,£14 9s 1d,,,
"CHRONOPOULOS, MrApostolos M.",26,3rd Class Passenger,2680,Cherbourg,General Labourer,
,,,£14 9s 1d,,,
"CLARK, Mr Walter Miller",27,1st Class Passenger,13508,Cherbourg,,
,,,£136 15s 7d,,,
"CLARKE, Mr Charles Valentine",29,2nd Class Passenger,2003,Southampton,Dairy Worker,
,,,£26,,,
"CLARKE, Mr John Frederick Preston",28,2nd Class Passenger,250654,Southampton,Musician,[202]
,,Musician,,,,
"CLENCH, Mr George James",31,Deck Crew,,Southampton,Able Seaman,
"CLIFFORD, Mr George Quincy",40,1st Class Passenger,110465,Southampton,,
,,,£52,,,
"COE, Mr Harry",21,Engineering Crew,,Southampton,Trimmer,
"COELHO, Mr Domingos Fernandeo",20,3rd Class Passenger,3101307,Southampton,General Labourer,
,,,£7 1s,,,
"COLBERT, Mr Patrick",24,3rd Class Passenger,371109,Queenstown,Railway Porter,
,,,£7 5s,,,
"COLEMAN, Mr John",57,Engineering Crew,,Belfast,Engineers' Mess steward,
"COLEMAN, Mr Albert Edward",28,Victualling Crew,,Southampton,Saloon Steward (1st class),
"COLERIDGE, Mr Reginald Charles",29,2nd Class Passenger,14263,Southampton,Advertising Consultant,
,,,£10 10s,,,
"COLLANDER, Mr Erik Gustaf",27,2nd Class Passenger,248740,Southampton,,
,,,£13,,,
"COLLEY, Mr Edward Pomeroy",37,1st Class Passenger,5727,Southampton,Civil Engineer,
,,,£25 11s 9d,,,
"COLLYER, Mr Harvey",31,2nd Class Passenger,31921,Southampton,Grocer,
,,,£26 5s,,,
"COMPTON, Mr Alexander Taylor jr",37,1st Class Passenger,17756,Cherbourg,,
,,,£83 3s 2d,,,
"CONLIN, Mr Thomas Henry",31,3rd Class Passenger,21332,Queenstown,General Labourer,
,,,£7 14s 8d,,,
"CONNAUGHTON, MrMichael",40,3rd Class Passenger,335097,Queenstown,Bus Driver,
,,,£7 15s,,,
"CONNOLLY, Miss Kate",41,3rd Class Passenger,330972,Queenstown,,
,,,£7 12s 7d,,,
"CONNORS, Mr Patrick",66,3rd Class Passenger,370369,Queenstown,Farm Labourer,[171]
,,,£7 15s,,,
"CONWAY, Mr Percy Walter",25,Victualling Crew,,Belfast,Saloon Steward (2nd class),
"COOK, Mr Gilbert William",32,Victualling Crew,,Southampton,Saloon Steward,
"COOK, Mr Jacob",43,3rd Class Passenger,3536,Southampton,Wood Carver,
,,,£8 1s,,,
"COOMBS, Mr Charles Augustus",45,Victualling Crew,,Southampton,Assistant Cook,
"COOPER, Mr H.",25,Engineering Crew,,Southampton,Fireman,
"COOPER, Mr James Edward",26,Engineering Crew,,Southampton,Trimmer,
"COPPERTHWAITE, MrAlbert Harry",28,Engineering Crew,,Southampton,Fireman,
"ČOR, Mr Bartol",35,3rd Class Passenger,349230,Southampton,General Labourer,
,,,£7 17s 11d,,,
"ČOR, Mr Ivan",27,3rd Class Passenger,349229,Southampton,General Labourer,
,,,£7 17s 11d,,,
"ČOR, Mr Liudevit",19,3rd Class Passenger,349231,Southampton,General Labourer,
,,,£7 17s 11d,,,
"CORBEN, Mr Ernest Theodore",27,Victualling Crew,,Southampton,Assistant Printer Steward,
"CORBETT, Mrs Irene",30,2nd Class Passenger,237249,Southampton,Musician,
,,,£13,,,
"CORCORAN, Mr Dennis",33,Engineering Crew,,Southampton,Fireman,
"COREY, Mrs Mary Emma",32,2nd Class Passenger,13534,Southampton,Teacher,
,,,£21,,,
"CORNAIRE, Mr Marcel Raymond André",19,Restaurant Staff,,Southampton,Assistant Roast Cook,
"CORNBLATT, Mr Harris",30,3rd Class Passenger,SOTON/OQ 392090,Southampton,Upholsterer,
,,,£8 1s,,,
"COTTERILL, Mr Henry",21,2nd Class Passenger,29107,Southampton,Carpenter / Joiner,
,,,£11 10s,,,
"COTTON, Mr Alfred",35,Engineering Crew,,Southampton,Trimmer,
,,Substitute Crew,,,,
"COUCH, Mr Frank",27,Deck Crew,,Southampton,Able Seaman,[253]
"COUCH, Mr Joseph Henry",49,Engineering Crew,,Southampton,Greaser,
"COUTIN, Mr Auguste Louis",28,Restaurant Staff,,Southampton,Entrée Cook,
"COX, Mr William Denton",30,Victualling Crew,,Southampton,Third class steward,[300]
"COXON, Mr Daniel",58,3rd Class Passenger,364500,Southampton,Dealer,
,,,£7 5s,,,
"COY, Mr Francis Ernest George",27,Engineering Crew,,Belfast,Junior Assistant 3rd. Engineer,
"CRABB, Mr Henry James",23,Engineering Crew,,Southampton,Trimmer,
"CRAFTON, Mr John Bertram",58,1st Class Passenger,113791,Southampton,Businessman,
,,,£26 11s,,,
"CREASE, Mr Ernest James",20,3rd Class Passenger,3464,Southampton,Tinsmith,
,,,£8 3s 2d,,,
"CREESE, Mr Henry Philip",45,Engineering Crew,,Belfast,Deck Engineer,
"CRIBB, Mr John Hatfield",43,3rd Class Passenger,371362,Southampton,Butler,
,,,£16 2s,,,
"CRISP, Mr Albert Hector",39,Victualling Crew,,Belfast,Saloon Steward,
"CRISPIN, Mr William",33,Victualling Crew,,Southampton,Glory Hole Steward,
"CROSBIE, Mr John Borthwick",45,Victualling Crew,,Southampton,Turkish Bath Attendant,
"CROSBY, Captain Edward Gifford",70,1st Class Passenger,5735,Southampton,,[269]
,,,£71,,,
"CROSS, Mr William Alfred",44,Engineering Crew,,Southampton,Fireman,
"CROVELLA, Sig. Paolo Luigi",16,Restaurant Staff,,Southampton,Assistant Waiter,
"CRUMPLIN, Mr Charles George Chandler",35,Victualling Crew,,Belfast,Bed Room Steward,
"ČULUMOVIĆ, Mr Jeso",17,3rd Class Passenger,315090,Southampton,,
,,,£8 13s 3d,,,
"CUMINGS, Mr John Bradley",39,1st Class Passenger,17599,Cherbourg,,
,,,£71 5s 8d,,,
"CUNNINGHAM, MrBernard",35,Engineering Crew,,Southampton,Fireman,
"CUNNINGHAM, Mr Alfred Fleming",21,2nd Class Passenger,239853,Belfast,Fitter,
,,H&W Guarantee Group,,,,
"CURTIS, Mr Arthur",26,Engineering Crew,,Southampton,Fireman,
"DĀHIR, Mr Ṭannūs",28,3rd Class Passenger,2686,Cherbourg,,
,,,£7 4s 7d,,,
"DAHLBERG, Miss Gerda Ulrika",22,3rd Class Passenger,7552,Southampton,,
,,,£10 10s 4d,,,
"DAKIĆ, Mr Branko",19,3rd Class Passenger,349228,Southampton,General Labourer,
,,,£10 3s 5d,,,
"DANBOM, Mrs Anna Sigrid Maria",28,3rd Class Passenger,347080,Southampton,,
,,,£14 8s,,,
"DANBOM, Master Gilbert Sigvard Emanuel",4m,3rd Class Passenger,347080,Southampton,,
,,,£14 8s,,,
"DANBOM, Mr Ernst Gilbert",34,3rd Class Passenger,347080,Southampton,General Labourer,[197]
,,,£14 8s,,,
"DASHWOOD, Mr William George",18,Victualling Crew,,Southampton,Saloon Steward (2nd class),[83]
"DAVIDSON, Mr Thornton",31,1st Class Passenger,12750,Cherbourg,,
,,,£52,,,
"DAVIES, Mr Robert J.",26,Victualling Crew,,Belfast,Saloon Steward,[191]
"DAVIES, Mr Joseph",17,3rd Class Passenger,48873,Southampton,Ironworker,
,,,£8 1s,,,
"DAVIES, Mr Thomas",33,Engineering Crew,,Southampton,Leading Fireman,
"DAVIES, Mr Charles Henry",19,2nd Class Passenger,14879,Southampton,,
,,,£73 10s,,,
"DAVIES, Mr Evan Lewis",22,3rd Class Passenger,23568,Southampton,Miner,
,,,£8 1s,,,
"DAVIES, Mr Gordon Raleigh",32,Victualling Crew,,Belfast,1st Class Bedroom Steward,
"DAVIES, Mr Alfred James",24,3rd Class Passenger,48871,Southampton,Caster,
,,,£24 3s,,,
"DAVIES, Mr John",22,3rd Class Passenger,48871,Southampton,Ironworker,
,,,£24 3s,,,
"DAVIS, Mr Stephen James",39,Deck Crew,,Southampton,Able Seaman,
"DAVIS, Mr John",27,Victualling Crew,,Belfast,Extra 2nd Baker,[200]
"DAVISON, Mr Thomas Henry",32,3rd Class Passenger,386525,Southampton,Blacksmith,
,,,£16 2s,,,
"DAWSON, Mr Joseph",23,Engineering Crew,,Southampton,Trimmer,[227]
"DE MARSICO, Sig. Govanni",20,Restaurant Staff,,Southampton,Assistant Waiter,
"DE PELSMAEKER, MrAlfons",16,3rd Class Passenger,345778,Southampton,Farm Labourer,
,,,£9 10s,,,
"DEACON, Mr Percy William",17,2nd Class Passenger,14879,Southampton,Baker,
,,,£73 10s,,,
"DEAN, Mr George Fox Hopkins",19,Victualling Crew,,Southampton,Assistant Saloon Steward,[252]
"DEAN, Mr Bertram Frank",25,3rd Class Passenger,2315,Southampton,Farmer,
,,,£20 11s 6d,,,
"DEBREUCQ, Mr Maurice Emile Victor",18,Restaurant Staff,,Southampton,Assistant Waiter,[244]
"DEEBLE, Mr Alfred Arnold",34,Victualling Crew,,Belfast,Saloon Steward (1st class),[270]
"DEL CARLO, MrSebastiano",29,2nd Class Passenger,2167,Cherbourg,,[295]
,,,£27 14s 5d,,,
"DELALIC, Mr Redjo",25,3rd Class Passenger,349250,Southampton,General Labourer,
,,,£7 17s 11d,,,
"DENBUOY, Mr Albert Joseph",25,2nd Class Passenger,31029,Southampton,Fruit Farmer,
,,,£31 10s,,,
"DENKOV, Mr Mityu",30,3rd Class Passenger,349225,Southampton,General Labourer,
,,,£7 17s 11d,,,
"DENNIS, Mr William",26,3rd Class Passenger,21175,Southampton,Farmer,
,,,£7 5s,,,
"DENNIS, Mr Samuel",22,3rd Class Passenger,21172,Southampton,Farmer,
,,,£7 5s,,,
"DENOV, Mr Yoto",27,3rd Class Passenger,349219,Southampton,General Labourer,
,,,£7 17s 11d,,,
"DERRETT, Mr Arthur Henry",28,Victualling Crew,,Belfast,Saloon Steward (1st class),
"DESLANDES, Mr Percival Stainer",38,Victualling Crew,,Southampton,Saloon Steward,[212]
"DESVERNINE, Mr Louis Gabriel",20,Restaurant Staff,,Southampton,Assistant Pastry Cook,
"DIBDEN, Mr William",18,2nd Class Passenger,14879,Southampton,General Labourer,
,,,£73 10s,,,
"DĪBŪ, Mr Ilyās",29,3rd Class Passenger,2674,Cherbourg,General Labourer,
,,,£7 4s 6d,,,
"DICKSON, Mr William",37,Engineering Crew,,Southampton,Trimmer,
,,Substitute Crew,,,,
"DIKA, Mr Mirko",17,3rd Class Passenger,349232,Southampton,,
,,,£7 17s 11d,,,
"DIMIĆ, Mr Jovan",42,3rd Class Passenger,315088,Southampton,,
,,,£8 13s 3d,,,
"DINCHEV, Mr Vulcho",43,3rd Class Passenger,349226,Southampton,,
,,,£7 17s 11d,,,
"DINENAGE, Mr James Richard",49,Victualling Crew,,Southampton,Saloon Steward (1st class),
"DODD, Mr Edward Charles",39,Engineering Crew,,Belfast,Junior 3rd. Engineer,
"DODD, Mr George Charles",44,Victualling Crew,,Belfast,"Second Steward, 1st Class",
"DODDS, Mr Henry Watson",26,Engineering Crew,,Southampton,Junior Assistant 4th Engineer,
,,Substitute Crew,,,,
"DOHERTY, Mr William John",22,3rd Class Passenger,330877,Queenstown,,
,,,£8 9s 2d,,,
"DOLBY, Mr Joseph",39,Victualling Crew,,Belfast,Reception Steward (1st Class),
"DONATI, Sig. Italo Francesco",17,Restaurant Staff,,Southampton,Assistant Waiter,[311]
"DONOGHUE, Mr Florence Thomas",31,Victualling Crew,,Belfast,Bed Room Steward,
"DONOHOE, Miss Bridget",21,3rd Class Passenger,364856,Queenstown,,
,,,£7 15s,,,
"DOOLY, Mr Patrick",37,3rd Class Passenger,370376,Queenstown,General Labourer,
,,,£7 15s,,,
"DORNIER, Mr Louis Auguste",20,Restaurant Staff,,Southampton,Assistant Fish Cook,
"DOUGHTY, Mr Walter Thomas",22,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"DOUGLAS, Mr Walter Donald",50,1st Class Passenger,17761,Cherbourg,,[62]
,,,£106 8s 6d,,,
"DOUTON, Mr William Joseph",55,2nd Class Passenger,28403,Southampton,Quarryman,
,,,£26,,,
"DOYLE, Mr Laurence",27,Engineering Crew,,Southampton,Fireman,
"DOYLE, Miss Elizabeth",28,3rd Class Passenger,368702,Queenstown,,
,,,£7 15s,,,
"DRAŽENOVIĆ, Mr Jozef",33,3rd Class Passenger,349241,Cherbourg,General Labourer,[51]
,,,£7 17s 11d,,,
"DREW, Mr James Vivian",42,2nd Class Passenger,28220,Southampton,,
,,,£32 10s,,,
"DUFFY, Mr William Luke",36,Engineering Crew,,Belfast,Writer / Engineer's Clerk,
"DULLES, Mr William Crothers",39,1st Class Passenger,17580,Cherbourg,,[133]
,,,£29 14s,,,
"DUNFORD, Mr William",48,Victualling Crew,,Southampton,Hospital Steward,[71]
"DWAN, Mr Frank",65,3rd Class Passenger,336439,Queenstown,Fisherman,
,,,£7 15s,,,
"DYER, Mr William Henry",33,Victualling Crew,,Southampton,Saloon Steward (1st class),
"DYER, Mr Henry Ryland",24,Engineering Crew,,Belfast,Senior Assistant 4th. Engineer,
"DYKER, Mr Adolf Fredrik",23,3rd Class Passenger,347072,Southampton,General Labourer,
,,,£13 18s,,,
"EAGLE, Mr Alfred James Jacob",27,Engineering Crew,,Southampton,Trimmer,
"EASTMAN, Mr Charles",44,Engineering Crew,,Southampton,Greaser,
"EDBROOKE, Mr Francis Samuel Jacob",23,Victualling Crew,,Southampton,Third class steward,
"EDE, Mr George Bulkeley",23,Victualling Crew,,Southampton,3rd Class Steward,
"EDGE, Mr Frederick William",39,Victualling Crew,,Southampton,Deck Steward (2nd class),
"EDVARDSSON, Mr Gustaf Hjalmar",18,3rd Class Passenger,349912,Southampton,General Labourer,
,,,£7 15s 6d,,,
"EDWARDS, Mr Charles Essex",39,Victualling Crew,,Southampton,Assistant Pantryman Steward (1st Class),
"EGG, Mr William Henry",48,Victualling Crew,,Southampton,Third class steward,
"EITEMILLER, Mr George Floyd",25,2nd Class Passenger,29751,Southampton,,
,,,£13,,,
"EKLUND, Mr Hans Linus",16,3rd Class Passenger,347074,Southampton,General Labourer,
,,,£7 15s 6d,,,
"EKSTRÖM, Mr Johan",45,3rd Class Passenger,347061,Southampton,General Labourer,
,,,£6 19s 6d,,,
"ELIAS, Mr Joseph jr.",15,3rd Class Passenger,2690,Cherbourg,General Labourer,
,,,£7 4s 7d,,,
"ELIAS NASRALLAH, MrTannous",22,3rd Class Passenger,2695,Cherbourg,General Labourer,
,,,£7 4s 7d,,,
"ELLIOTT, Mr Everett Edward",23,Engineering Crew,,Southampton,Trimmer,[317]
"ELSBURY, Mr William James",48,3rd Class Passenger,3902,Southampton,Farmer,
,,,£7 5s,,,
"ENANDER, Mr Ingvar",21,2nd Class Passenger,236854,Southampton,,
,,,£13,,,
"ENNIS, Mr Walter",34,Victualling Crew,,Southampton,Turkish Bath Attendant,
"ERVINE, Mr Albert George",18,Engineering Crew,,Belfast,Assistant Electrician,
"ESTANISLAU, Mr Manuel Gonçalves",37,3rd Class Passenger,3101306,Southampton,General Labourer,
,,,£7 1s,,,
"EVANS, Mr William Thomas",33,Engineering Crew,,Southampton,Trimmer,[31]
"EVANS, Mr George Richard",27,Victualling Crew,,Belfast,Saloon Steward (1st class),
"EVANS, Miss Edith Corse",36,1st Class Passenger,17531,Cherbourg,,
,,,£31 13s 7d,,,
"EVERETT, Mr Thomas James",37,3rd Class Passenger,6212,Southampton,Crane Operator,[187]
,,,£15 2s,,,
"FAHLSTRØM, Mr Arne Joma",18,2nd Class Passenger,236171,Southampton,,
,,,£13,,,
"FAIRALL, Mr Henry Charles",38,Victualling Crew,,Belfast,Saloon Steward (1st class),
"FARDON, Mr Charles Richard",46,3rd Class Passenger,3101314,Southampton,Carpenter / Joiner,
,,,£7 5s,,,
"FARENDEN, Mr Ernest John",22,Victualling Crew,,Belfast,Confectioner,
"FARQUHARSON, MrWilliam Edward",39,Engineering Crew,,Belfast,Senior 2nd. Engineer,
"FARRELL, Mr James",26,3rd Class Passenger,367232,Queenstown,Farm Labourer,[68]
,,,£7 15s,,,
"FARTHING, Mr John",48,1st Class Passenger,17483,Southampton,Servant,
,,Servant,£221 15s 7d,,,
"FAUNTHORPE, Mr Harry Bartram",31,2nd Class Passenger,2926,Southampton,,[286]
,,,£26,,,
"FAY, Mr Thomas Joseph",30,Engineering Crew,,Southampton,Greaser,
"FEI, Sig. Carlo",19,Restaurant Staff,,Southampton,Scullion,
"FELLOWES, Mr Alfred James",28,Victualling Crew,,Belfast,Assistant boots steward (1st class),[138]
"FELTHAM, Mr George William",41,Victualling Crew,,Southampton,Vienna Baker,
"FERRARY, Mr Antonio",33,Engineering Crew,,Southampton,Trimmer,
"FERRIS, Mr William",39,Engineering Crew,,Southampton,Leading Fireman,
"FILLBROOK, Mr Joseph Charles",18,2nd Class Passenger,15185,Southampton,Painter & Decorator,
,,,£10 10s,,,
"FINCH, Mr Henry Herman",18,Victualling Crew,,Southampton,Steward (3rd Class),
"FIORAVANTE, Sig.Giuseppe Bertoldo",23,Restaurant Staff,,Southampton,Assistant Scullion,
"FISCHER, Mr Eberhard Thelander",18,3rd Class Passenger,350036,Southampton,,
,,,£7 15s 11d,,,
"FITZPATRICK, Mr Hugh Joseph",29,Engineering Crew,,Belfast,Junior Boilermaker,
"FLEMING, Miss Honor",22,3rd Class Passenger,364859,Queenstown,,
,,,£7 15s,,,
"FLETCHER, Mr Percy William",25,Victualling Crew,,Belfast,Bugler Steward,
"FLYNN, Mr John",48,3rd Class Passenger,368323,Queenstown,Farm Labourer,
,,,£6 19s,,,
"FLYNN, Mr James",28,3rd Class Passenger,364851,Queenstown,General Labourer,
,,,£7 15s,,,
"FOLEY, Mr Joseph",19,3rd Class Passenger,330910,Queenstown,Farm Labourer,
,,,£7 17s 7d,,,
"FOLEY, Mr William",20,3rd Class Passenger,365235,Queenstown,Farm Labourer,
,,,£7 15s,,,
"FORD, Mr Arthur",23,3rd Class Passenger,1478,Southampton,Carpenter / Joiner,
,,,£8 1s,,,
"FORD, Mr William Neal Thomas",14,3rd Class Passenger,6608,Southampton,Messenger,
,,,£34 7s 6d,,,
"FORD, Mr H.",22,Engineering Crew,,Southampton,Trimmer,
"FORD, Mrs Margaret Ann Watson",54,3rd Class Passenger,6608,Southampton,Farmer,
,,,£34 7s 6d,,,
"FORD, Mr Ernest",33,Victualling Crew,,Southampton,3rd Class Steward,
"FORD, Miss Robina Maggie",7,3rd Class Passenger,6608,Southampton,,
,,,£34 7s 6d,,,
"FORD, Mr Thomas",33,Engineering Crew,,Southampton,Leading Fireman,
"FORD, Miss Dollina Margaret",20,3rd Class Passenger,6608,Southampton,Servant,
,,,£34 7s 6d,,,
"FORD, Mr Francis",44,Victualling Crew,,Southampton,Bedroom Steward (2nd class),
"FORD, Mr Edward Watson",18,3rd Class Passenger,6608,Southampton,Blacksmith,
,,,£34 7s 6d,,,
"FOREMAN, Mr Benjamin Laventall",30,1st Class Passenger,113051,Southampton,,
,,,£27 15s,,,
"FORTUNE, Mr Mark",64,1st Class Passenger,19950,Southampton,,
,,,£263,,,
"FORTUNE, Mr Charles Alexander",19,1st Class Passenger,19950,Southampton,,
,,,£263,,,
"FOSTER, Mr Alfred Charles",37,Engineering Crew,,Belfast,Storekeeper (Engineering),
"FOX, Mr William Thomas",27,Victualling Crew,,Southampton,Steward,
"FOX, Mr Stanley Harrington",38,2nd Class Passenger,229236,Southampton,Businessman,[236]
,,,£13,,,
"FOX, Mr Patrick",28,3rd Class Passenger,368573,Queenstown,General Labourer,
,,,£7 15s,,,
"FRANKLIN, Mr Thomas Parnham",37,1st Class Passenger,113778,Southampton,,
,,,£26 11s,,,
"FRANKLIN, Mr Alan Vincent",28,Victualling Crew,,Southampton,Saloon Steward (2nd class),[262]
"FRASER, Mr James",30,Engineering Crew,,Belfast,Junior Assistant 3rd. Engineer,
"FRASER, Mr J.",30,Engineering Crew,,Southampton,Fireman,
"FREEMAN, Mr Ernest Edward Samuel",45,Victualling Crew,,Belfast,Deck Steward (1st Class),[239]
"FROST, Mr Anthony Wood",38,2nd Class Passenger,239854,Belfast,Fitter,
,,H&W Guarantee Group,,,,
"FRY, Mr Richard Thomas",39,1st Class Passenger,112058,Southampton,Personal Valet,
,,Servant,,,,
"FUNK, Miss Annie Clemmer",38,2nd Class Passenger,237671,Southampton,Missionary,
,,,£13,,,
"FUTRELLE, Mr Jacques Heath",37,1st Class Passenger,113803,Southampton,Writer,
,,,£53 2s,,,
"FYNNEY, Mr Joseph J.",36,2nd Class Passenger,239865,Southampton,Rubber Merchant,[322]
,,,£26,,,
"GALE, Mr Harry",37,2nd Class Passenger,28664,Southampton,Miner,
,,,£21,,,
"GALE, Mr Shadrach",33,2nd Class Passenger,28664,Southampton,Miner,
,,,£21,,,
"GALLAGHER, Mr Martin",29,3rd Class Passenger,36864,Queenstown,Farm Labourer,
,,,£7 14s 10d,,,
"GARFIRTH, Mr John",21,3rd Class Passenger,358585,Southampton,Shoemaker,
,,,£14 10s,,,
"GASKELL, Mr William Alfred",19,2nd Class Passenger,239865,Southampton,Cooper,
,,,£26,,,
"GATTI, Sig. Gaspare Antonio Pietro",37,Restaurant Staff,,Southampton,Ã  la Carte Restaurant Manager,[313]
"GAVEY, Mr Laurence",26,2nd Class Passenger,31028,Southampton,,
,,,£10 10s,,,
"GEDDES, Mr Richard Charles",32,Victualling Crew,,Southampton,Bed Room Steward (1st class),
"GEE, Mr Arthur H.",47,1st Class Passenger,111320,Southampton,,[275]
,,,£38 10s,,,
"GEER, Mr Alfred Emest",26,Engineering Crew,,Southampton,Fireman,
,,Substitute Crew,,,,
"GEORGIEV, Mr Stenyu",,3rd Class Passenger,349254,Cherbourg,General Labourer,
,,,£7 17s 11d,,,
"GIGLIO, Mr Victor Gaitan Andrea",23,1st Class Passenger,17593,Cherbourg,Servant,
,,Servant,£79 4s,,,
"GILARDINO, Sig. Vincenzo Pio",31,Restaurant Staff,,Southampton,Waiter,
"GILBERT, Mr William",46,2nd Class Passenger,30769,Southampton,,
,,,£10 10s,,,
"GILES, Mr John Robert",32,Victualling Crew,,Southampton,2nd Baker,
"GILES, Mr Ralph",24,2nd Class Passenger,248726,Southampton,,[297]
,,,£13 10s,,,
"GILES, Mr Edgar",18,2nd Class Passenger,28133,Southampton,Cab Driver,
,,,£11 10s,,,
"GILES, Mr Frederick Edward",20,2nd Class Passenger,28134,Southampton,Bus Driver,
,,,£11 10s,,,
"GILINSKI, Mr Eliezer",23,3rd Class Passenger,14973,Southampton,Locksmith,[47]
,,,£8 1s,,,
"GILL, Mr Joseph Stanley",38,Victualling Crew,,Belfast,Bed Room Steward,[49]
"GILL, Mr John",24,2nd Class Passenger,233866,Southampton,Chauffeur,[155]
,,,£13,,,
"GILL, Mr Patrick",38,Victualling Crew,,Southampton,Ship's Cook,
"GILLESPIE, Mr William Henry",31,2nd Class Passenger,12233,Southampton,Clerk,
,,,£13,,,
"GIVARD, Mr Hans Kristensen",27,2nd Class Passenger,250646,Southampton,,[305]
,,,£13,,,
"GODWIN, Mr Frederick Charles",36,Engineering Crew,,Southampton,Greaser,
"GOLDER, Mr Martin William",35,Engineering Crew,,Southampton,Fireman,
"GOLDSCHMIDT, MrGeorge B.",71,1st Class Passenger,17754,Cherbourg,Lawyer,
,,,£34 13s 1d,,,
"GOLDSMITH, Mr Frank John",33,3rd Class Passenger,363291,Southampton,Turner,
,,,£20 10s 6d,,,
"GOLDSMITH, Mr Nathan",41,3rd Class Passenger,3101263,Southampton,Shoemaker,
,,,£7 17s,,,
"GOLLOP, Mr Percival Salisbury",30,Victualling Crew,,Southampton,Assistant Passage Cook,
"GOODWIN, Master Sidney Leslie",1,3rd Class Passenger,2144,Southampton,,[4]
,,,£46 18s,,,
"GOODWIN, MasterWilliam Frederick",13,3rd Class Passenger,2144,Southampton,,
,,,£46 18s,,,
"GOODWIN, Mrs Augusta",43,3rd Class Passenger,2144,Southampton,,
,,,£46 18s,,,
"GOODWIN, Miss Jessie Allis Mary",12,3rd Class Passenger,2144,Southampton,,
,,,£46 18s,,,
"GOODWIN, Miss Lillian Augusta",16,3rd Class Passenger,2144,Southampton,Servant,
,,,£46 18s,,,
"GOODWIN, Master Harold Victor",10,3rd Class Passenger,2144,Southampton,,
,,,£46 18s,,,
"GOODWIN, Mr Charles Edward",14,3rd Class Passenger,2144,Southampton,Scholar,
,,,£46 18s,,,
"GOODWIN, Mr Frederick Joseph",42,3rd Class Passenger,2144,Southampton,Engineer,
,,,£46 18s,,,
"GORDON, Mr J.",29,Engineering Crew,,Southampton,Trimmer,
,,Substitute Crew,,,,
"GOREE, Mr Frank",40,Engineering Crew,,Southampton,Greaser,[222]
"GOSHAWK, Mr Alfred James",40,Victualling Crew,,Belfast,Saloon Steward (1st class),
"GOSLING, Mr Frank Henry",25,Engineering Crew,,Southampton,Trimmer,
"GOSLING, Mr Bertram James",22,Engineering Crew,,Southampton,Trimmer,
"GRADIDGE, Mr Ernest Edward",22,Engineering Crew,,Southampton,Fireman,[276]
"GRAHAM, Mr George Edward",38,1st Class Passenger,112053,Southampton,Sales Manager,[147]
,,,£30,,,
"GREEN, Mr George",41,3rd Class Passenger,21440,Southampton,Farrier,
,,,£8 1s,,,
"GREEN, Mr George",20,Engineering Crew,,Southampton,Trimmer,
"GREENBERG, Mr Samuel",51,2nd Class Passenger,250647,Southampton,,[19]
,,,£13,,,
"GREGORY, Mr David",43,Engineering Crew,,Southampton,Greaser,
"GROSCLAUDE, Mr Gérald",24,Restaurant Staff,,Southampton,Waiter,
"GRØNNESTAD, Mr Daniel Danielsen",32,3rd Class Passenger,8471,Southampton,General Labourer,
,,,£8 6s 15d,,,
"GUEST, Mr Charles Robert",24,3rd Class Passenger,376563,Southampton,General Labourer,
,,,£8 1s,,,
"GUGGENHEIM, MrBenjamin",46,1st Class Passenger,17593,Cherbourg,Businessman,
,,,£79 4s,,,
"GUMERY, Mr George",24,Engineering Crew,,Southampton,Mess Steward,
"GUNN, Mr Joseph Alfred",30,Victualling Crew,,Southampton,Assistant Saloon Steward (2nd Class),
"GUSTAFSSON, Mr Karl Gideon",19,3rd Class Passenger,347069,Southampton,General Labourer,
,,,£7 15s 6d,,,
"GUSTAFSSON, Mr Johan Birger",28,3rd Class Passenger,3101277,Southampton,,
,,,£7 18s 6d,,,
"GUSTAFSSON, Mr Alfred Ossian",19,3rd Class Passenger,7534,Southampton,General Labourer,
,,,£9 16s 11d,,,
"GUSTAFSSON, Mr Anders Vilhelm",37,3rd Class Passenger,3101276,Southampton,General Labourer,[98]
,,,£7 18s 6d,,,
"GWINN, Mr William Logan",37,Victualling Crew,,Southampton,Postal Clerk / Postman,
,,Postal Clerk,,,,
"HAAS, Miss Aloisia",24,3rd Class Passenger,349236,Southampton,General Labourer,
,,,£8 17s,,,
"HAGLAND, Mr Ingvald Olai Olsen",28,3rd Class Passenger,65303,Southampton,Fisherman,
,,,£6 19s 4d,,,
"HAGLAND, Mr Konrad Mathias Reiersen",19,3rd Class Passenger,65304,Southampton,General Labourer,
,,,£6 19s 4d,,,
"HAKKARAINEN, Mr Pekka Pietari",28,3rd Class Passenger,3101279,Southampton,General Labourer,
,,,£15 17s,,,
